first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
Ben,Cline,C001118,rep,Republican,VA,2025-01-03,2027-01-03,@congressmanbencline8000,UCQYI19aNR1xdhX2BCkDQSGg,RepBenCline,1.07e+18,repbencline,,RepBenCline,https://www.youtube.com/channel/UCQYI19aNR1xdhX2BCkDQSGg
Steven,Horsford,H001066,rep,Democrat,NV,2025-01-03,2027-01-03,,UCNEpy5bPXiyAavRzYnPlhDQ,RepHorsford,389840566.0,rephorsford,,,https://www.youtube.com/channel/UCNEpy5bPXiyAavRzYnPlhDQ
Kevin,Hern,H001082,rep,Republican,OK,2025-01-03,2027-01-03,,UC9XRRGCgGOEtEOwUAo1rYZg,repkevinhern,1.07e+18,,,repkevinhern,https://www.youtube.com/channel/UC9XRRGCgGOEtEOwUAo1rYZg
Mike,Levin,L000593,rep,Democrat,CA,2025-01-03,2027-01-03,,UCYFDRohyZgoPy5rXOaVZO-A,RepMikeLevin,1.07e+18,RepMikeLevin,,RepMikeLevin,https://www.youtube.com/channel/UCYFDRohyZgoPy5rXOaVZO-A
Dan,Crenshaw,C001120,rep,Republican,TX,2025-01-03,2027-01-03,,UC2XDiCjAHtJqnSEzrHAY5IQ,RepDanCrenshaw,1.08e+18,dancrenshawtx,,RepDanCrenshaw,https://www.youtube.com/channel/UC2XDiCjAHtJqnSEzrHAY5IQ
Veronica,Escobar,E000299,rep,Democrat,TX,2025-01-03,2027-01-03,,UC46TX2P8K0CA_4gZv8_R2Og,RepEscobar,1.08e+18,repescobar,,RepEscobar,https://www.youtube.com/channel/UC46TX2P8K0CA_4gZv8_R2Og
Lizzie,Fletcher,F000468,rep,Democrat,TX,2025-01-03,2027-01-03,,UCIWDLoDPvawP118TNWi-9rg,RepFletcher,1.08e+18,repfletcher,,RepFletcher,https://www.youtube.com/channel/UCIWDLoDPvawP118TNWi-9rg
Russ,Fulcher,F000469,rep,Republican,ID,2025-01-03,2027-01-03,,UCx2AS0O5frzPB8D6TqJ3Mqg,RepRussFulcher,1.08e+18,RepRussFulcher,,RepRussFulcher,https://www.youtube.com/channel/UCx2AS0O5frzPB8D6TqJ3Mqg
Chrissy,Houlahan,H001085,rep,Democrat,PA,2025-01-03,2027-01-03,,UCGydnnhsUZqFBscmcWcT-zQ,RepHoulahan,1.05e+18,repchrissyhoulahan,,RepChrissyHoulahan,https://www.youtube.com/channel/UCGydnnhsUZqFBscmcWcT-zQ
Ayanna,Pressley,P000617,rep,Democrat,MA,2025-01-03,2027-01-03,,UCkhjut8oXdxN7HGg5eRT9Fw,RepPressley,1.08e+18,RepAyannaPressley,,RepAyannaPressley,https://www.youtube.com/channel/UCkhjut8oXdxN7HGg5eRT9Fw
Rashida,Tlaib,T000481,rep,Democrat,MI,2025-01-03,2027-01-03,,UCl5GK07sD5TZIhKcsDNSExA,RepRashida,1.08e+18,reprashida,,RepRashida,https://www.youtube.com/channel/UCl5GK07sD5TZIhKcsDNSExA
Lori,Trahan,T000482,rep,Democrat,MA,2025-01-03,2027-01-03,,UCsRXg0BmoS4Rkjz-pqX1PmQ,RepLoriTrahan,1.08e+18,reploritrahan,,reploritrahan,https://www.youtube.com/channel/UCsRXg0BmoS4Rkjz-pqX1PmQ
